Symbol,ETF Name,Asset Class,Total Assets ,YTD Price Change,Avg. Daily Volume,Previous Closing Price,1-Day Change,Inverse,Leveraged,1 Week,1 Month,1 Year,3 Year,5 Year,YTD FF,1 Week FF,4 Week FF,1 Year FF,3 Year FF,5 Year FF,ETF Database Category,Inception,ER,Commission Free,Annual Dividend Rate,Dividend Date,Dividend,Annual Dividend Yield %,P/E Ratio,Beta,# of Holdings,% In Top 10,ST Cap Gain Rate,LT Cap Gain Rate,Tax Form,Lower Bollinger,Upper Bollinger,Support 1,Resistance 1,RSI,Liquidity Rating,Expenses Rating,Returns Rating,Volatility Rating,Dividend Rating,Concentration Rating,ESG Score,ESG Score Peer Percentile (%),ESG Score Global Percentile (%),Carbon Intensity (Tons of CO2e / $M Sales),SRI Exclusion Criteria (%),Sustainable Impact Solutions (%)
PFEB,Innovator U.S. Equity Power Buffer ETF - February,Equity,"$801,911,000",-5.90%,"231,189",$34.63,0.03%,No,False,0.58%,-3.64%,3.22%,6.09%,8.85%,"$304,706,127.50","$2,605,805.00","-$19,127,235.00","$46,156,462.50","$401,405,362.50","$616,178,202.50",Volatility Hedged Equity,2020-02-03,0.79%,N/A,$0.00,N/A,N/A,0.00%,0.05,0.44,2,100.00%,40%,20%,1099,$33.48,$36.98,N/A,N/A,42.07,A,B-,A-,B+,C+,N/A,0.0,N/A,N/A,N/A,N/A,N/A
FMAY,FT Vest U.S. Equity Buffer Fund - May,Equity,"$794,142,000",-6.94%,"20,533",$44.14,0.05%,No,False,-0.19%,-4.88%,2.57%,5.82%,N/A,"$13,820,475.00","$2,232,600.00","-$5,620,650.00","$229,914,675.00","$565,703,050.00","$678,298,850.00",Volatility Hedged Equity,2020-05-15,0.85%,N/A,$0.00,N/A,N/A,0.00%,0.03,0.56,1,0.00%,40%,20%,1099,$42.50,$47.93,N/A,N/A,41.12,A-,C,B,A,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
ARKQ,ARK Autonomous Technology & Robotics ETF,Equity,"$791,191,000",-16.26%,"129,419",$64.69,0.12%,No,False,0.67%,-5.49%,28.46%,0.70%,12.53%,"-$3,345,100.00","-$3,229,350.00","-$6,584,000.00","-$205,702,850.00","-$610,946,300.00","$912,536,500.00",All Cap Equities,2014-09-30,0.75%,N/A,$0.00,2021-12-29,$0.61,0.00%,0.08,1.30,37,61.09%,40%,20%,1099,$58.71,$73.47,N/A,N/A,44.31,A,C+,A,C,B-,C,6.43,56.15%,48.89%,77.5,22.26%,2.93%
FMAR,FT Vest US Equity Buffer ETF - March,Equity,"$789,552,000",-6.45%,"76,806",$40.48,0.25%,No,False,0.65%,-4.11%,6.02%,6.74%,N/A,"$41,832,775.00","$1,038,975.00","$31,855,175.00","$93,879,775.00","$524,800,275.00","$700,154,975.00",Volatility Hedged Equity,2021-03-19,0.85%,N/A,$0.00,N/A,N/A,0.00%,0.03,0.60,3,99.99%,40%,20%,1099,$38.97,$43.66,N/A,N/A,42.44,A,C+,B,C+,C+,N/A,0.0,N/A,N/A,N/A,N/A,N/A
CLOA,iShares AAA CLO Active ETF,Bond,"$781,060,000",0.73%,"357,657",$51.44,0.16%,No,False,0.47%,-0.07%,5.54%,N/A,N/A,"$134,628,520.00",$0.00,"$5,065,670.00","$574,588,230.00","$764,570,780.00","$764,570,780.00",Corporate Bonds,2023-01-10,0.20%,N/A,$3.06,2025-04-01,$0.25,5.94%,0.00,0.19,265,8.82%,40%,20%,1099,$51.03,$51.71,$51.39,$51.49,52.11,N/A,A,N/A,N/A,B+,N/A,0.0,N/A,N/A,N/A,N/A,N/A
WTV,WisdomTree U.S. Value Fund,Equity,"$766,221,000",-7.86%,"135,222",$76.72,0.72%,No,False,1.91%,-5.48%,9.79%,9.68%,19.73%,"$354,067,260.00","-$1,504,460.00","$35,130,150.00","$497,491,205.00","$636,249,246.00","$658,799,051.00",Large Cap Blend Equities,2007-02-23,0.12%,N/A,$1.33,2025-03-26,$0.32,1.74%,8.67,1.11,156,14.20%,40%,20%,1099,$71.77,$86.11,$76.22,$77.24,42.59,B-,A,A-,C,N/A,N/A,6.75,79.94%,62.39%,87.84,10.88%,5.81%
SMMU,PIMCO Short Term Municipal Bond Active ETF,Bond,"$765,361,000",0.19%,"113,668",$49.60,0.18%,No,False,0.44%,-0.73%,2.69%,2.63%,1.46%,"$133,140,600.00","$77,322,200.00","$90,242,800.00","$201,195,800.00","$231,958,800.00","$658,403,800.00",National Munis,2010-02-01,0.35%,N/A,$1.48,2025-04-01,$0.11,2.99%,0.00,0.04,278,14.10%,40%,20%,1099,$49.11,$50.30,N/A,N/A,45.65,B+,C+,B-,A,B,C+,0.0,N/A,N/A,N/A,N/A,N/A
POCT,Innovator U.S. Equity Power Buffer ETF - October,Equity,"$765,160,000",-4.94%,"83,351",$37.61,0.00%,No,False,0.43%,-3.51%,1.18%,7.96%,9.71%,"-$83,000,500.00","$1,873,500.00","-$20,930,000.00","$51,507,500.00","$418,505,500.00","$349,827,750.00",Volatility Hedged Equity,2018-10-01,0.79%,N/A,$0.00,N/A,N/A,0.00%,0.03,0.43,2,100.00%,40%,20%,1099,$36.43,$40.04,N/A,N/A,42.68,A-,B-,A-,B,C+,N/A,0.0,N/A,N/A,N/A,N/A,N/A
FOCT,FT Vest U.S. Equity Buffer ETF - October,Equity,"$763,491,000",-6.22%,"70,543",$39.98,0.10%,No,False,0.81%,-4.17%,-0.25%,5.19%,N/A,"-$20,529,750.00","-$4,985,850.00","-$69,610,000.00","$259,788,675.00","$504,562,775.00","$705,108,875.00",Volatility Hedged Equity,2020-10-16,0.85%,N/A,$0.00,N/A,N/A,0.00%,0.03,0.61,2,100.00%,40%,20%,1099,$38.22,$43.20,N/A,N/A,42.66,B+,C+,N/A,A-,C+,N/A,0.0,N/A,N/A,N/A,N/A,N/A
TDVG,T. Rowe Price Dividend Growth ETF,Equity,"$743,598,000",-3.19%,"65,738",$38.22,0.08%,No,False,1.25%,-3.84%,6.20%,6.24%,N/A,"$23,775,276.18","$3,629,812.95","$12,388,848.54","$344,224,071.30","$560,581,536.83","$663,930,605.04",Large Cap Growth Equities,2020-08-04,0.50%,N/A,$0.43,2025-03-27,$0.12,1.11%,2.26,0.87,100,26.84%,40%,20%,1099,$36.28,$41.84,N/A,N/A,43.53,B-,B-,N/A,A,C+,N/A,6.58,65.26%,55.03%,128.76,7.23%,2.13%
PAPR,Innovator U.S. Equity Power Buffer ETF - April,Equity,"$741,995,000",-6.00%,"129,857",$34.50,0.09%,No,False,0.38%,-3.85%,5.18%,5.72%,6.78%,"$25,396,145.00","$26,915,105.00","$116,049,587.50","-$182,746,165.00","$321,703,302.50","$329,559,235.00",Volatility Hedged Equity,2019-04-01,0.79%,N/A,$0.00,N/A,N/A,0.00%,0.03,0.39,2,100.00%,40%,20%,1099,$33.26,$36.96,N/A,N/A,42.25,A-,B,C+,A,C+,N/A,0.0,N/A,N/A,N/A,N/A,N/A
FMHI,First Trust Municipal High Income ETF,Bond,"$736,549,000",-2.88%,"102,567",$46.43,0.13%,No,False,-0.17%,-3.31%,1.45%,1.36%,2.55%,"$12,790,200.00","-$2,401,150.00","-$18,599,000.00","$161,615,750.00","$435,478,922.00","$694,251,407.00",National Munis,2017-11-01,0.70%,N/A,$1.95,2025-03-27,$0.16,4.20%,0.00,0.22,606,6.48%,40%,20%,1099,$45.68,$48.89,N/A,N/A,36.69,B+,C,N/A,B-,A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
SYFI,AB Short Duration High Yield ETF,Bond,"$724,555,000",-0.38%,"187,438",$35.02,0.52%,No,False,1.18%,-1.27%,N/A,N/A,N/A,"-$28,097,442.50","$836,425.00","-$64,145,500.00","$54,629,897.54","$54,629,897.54","$54,629,897.54",High Yield Bonds,2024-06-10,0.40%,N/A,$1.69,2025-04-01,$0.20,4.84%,N/A,N/A,608,11.35%,40%,20%,1099,$34.13,$35.92,$34.84,$35.15,47.21,N/A,B+,N/A,N/A,N/A,N/A,5.44,31.29%,26.97%,226.59,7.51%,2.09%
PAUG,Innovator U.S. Equity Power Buffer ETF - August,Equity,"$724,427,000",-4.83%,"81,411",$36.64,0.19%,No,False,0.77%,-3.20%,5.80%,7.12%,8.61%,"-$84,908,020.00","$32,277,885.00","-$3,739,645.00","-$49,286,772.50","$380,722,085.00","$485,759,570.00",Volatility Hedged Equity,2019-08-01,0.79%,N/A,$0.00,N/A,N/A,0.00%,0.05,0.48,1,100.00%,40%,20%,1099,$35.38,$38.97,N/A,N/A,43.46,B,C+,N/A,A,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
TAFI,AB Tax-Aware Short Duration Municipal ETF,Bond,"$700,227,000",0.30%,"200,630",$24.83,0.12%,No,False,0.08%,-0.73%,2.86%,N/A,N/A,"$59,049,920.00","-$8,694,715.00","-$1,159,890.00","$228,485,100.00","$679,831,555.00","$679,831,555.00",National Munis,2022-09-14,0.27%,N/A,$0.84,2025-04-01,$0.07,3.39%,0.00,0.13,450,7.46%,40%,20%,1099,$24.68,$25.18,$24.80,$24.86,43.59,N/A,A,N/A,N/A,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
LGOV,First Trust Long Duration Opportunities ETF,Bond,"$693,128,000",3.27%,"290,259",$21.31,0.05%,No,False,0.66%,-0.15%,8.38%,-1.45%,-2.98%,"$63,783,250.00","$10,510,300.00","$36,013,200.00","$245,557,050.00","$677,689,250.00","$701,024,700.00",Mortgage Backed Securities,2019-01-22,0.67%,N/A,$0.84,2025-03-27,$0.07,3.94%,0.00,0.12,119,21.15%,40%,20%,1099,$20.92,$21.85,N/A,N/A,50.11,C,B,N/A,C,C,N/A,0.0,N/A,N/A,N/A,N/A,N/A
JCPI,JPMorgan Inflation Managed Bond ETF,Bond,"$682,238,000",N/A,N/A,N/A,0.00%,No,False,N/A,N/A,N/A,N/A,N/A,"$7,278,500.00","-$14,130,000.00","$9,677,000.00","$11,990,500.00","-$384,960,000.00","-$363,487,284.56",Corporate Bonds,2022-04-08,0.25%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,743,37.07%,40%,20%,1099,N/A,N/A,N/A,N/A,"",N/A,A,N/A,N/A,N/A,N/A,6.2,96.15%,40.86%,234.48,2.65%,0.86%
WINN,Harbor Long-Term Growers ETF,Equity,"$682,104,000",-14.22%,"179,259",$23.34,1.04%,No,False,-0.09%,-6.86%,3.73%,9.39%,N/A,"$116,458,750.00","$5,825,000.00","$57,153,000.00","$315,600,500.00","$604,516,750.00","$621,831,250.00",All Cap Equities,2022-02-02,0.57%,N/A,$0.00,2023-12-21,$0.01,0.00%,31.40,1.21,69,57.80%,40%,20%,1099,$21.79,$26.23,N/A,N/A,42.27,A,B,N/A,C,N/A,N/A,6.18,11.88%,40.32%,20.68,11.77%,10.26%
PSC,Principal U.S. Small-Cap ETF,Equity,"$672,151,000",-10.24%,"70,408",$45.92,0.70%,No,False,2.71%,-4.78%,0.30%,3.16%,16.82%,"$30,573,244.00","$9,015,992.00","$16,812,688.00","$205,563,606.00","-$52,962,007.00","-$18,482,342.00",Small Cap Blend Equities,2016-09-21,0.38%,N/A,$0.40,2025-04-01,$0.11,0.86%,8.94,1.19,490,10.05%,40%,20%,1099,$42.85,$50.98,$45.55,$46.22,43.17,B-,A-,C+,B+,B+,N/A,5.58,21.99%,28.88%,113.47,0.97%,7.88%
FLIA,Franklin International Aggregate Bond ETF,Bond,"$671,192,000",0.44%,"119,897",$20.37,0.20%,No,False,0.79%,1.90%,4.66%,1.97%,0.61%,"$56,719,500.00","$22,352,000.00","$40,602,000.00","$153,601,500.00","$485,185,000.00","$666,412,000.00",International Government Bonds,2018-05-30,0.25%,N/A,$0.60,2024-12-13,$0.60,2.96%,0.00,0.08,61,37.62%,40%,20%,1099,$20.07,$20.42,$20.35,$20.40,56.14,B,A+,B-,A+,C+,N/A,5.81,20.98%,32.16%,4.56,0.00%,0.01%
PSEP,Innovator U.S. Equity Power Buffer ETF - September,Equity,"$667,035,000",-4.90%,"113,802",$37.17,-0.05%,No,False,0.46%,-3.38%,3.48%,7.89%,8.95%,"-$210,747,427.50","-$5,587,810.00","-$61,064,230.00","-$60,184,662.50","$215,862,942.50","$437,484,397.50",Volatility Hedged Equity,2019-09-03,0.79%,N/A,$0.00,N/A,N/A,0.00%,0.03,0.48,1,100.00%,40%,20%,1099,$36.03,$39.56,N/A,N/A,42.29,A-,C+,N/A,A-,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
VFVA,Vanguard U.S. Value Factor ETF,Equity,"$665,681,000",-12.24%,"26,663",$103.28,1.20%,No,False,2.15%,-9.16%,-4.42%,1.58%,19.16%,"-$19,373,150.00","-$3,048,900.00","-$9,929,150.00","$56,941,400.00","$92,659,600.00","$497,489,150.00",All Cap Equities,2018-02-13,0.13%,N/A,$2.91,2025-03-25,$0.70,2.82%,8.00,1.24,619,8.56%,40%,20%,1099,$95.08,$121.34,$102.47,$103.96,39.89,B+,A,C,C+,B+,N/A,6.13,10.73%,39.14%,138.55,4.01%,4.46%
TTAC,FCF US Quality ETF,Equity,"$658,730,000",23.23%,"52,138",$69.35,-0.59%,No,False,-1.61%,0.41%,24.17%,9.73%,15.37%,$0.00,$0.00,$0.00,"$198,146,750.00","$346,486,000.00","$383,019,500.00",Large Cap Growth Equities,2016-09-27,0.59%,N/A,$0.49,2024-09-27,$0.18,0.71%,24.32,1.00,133,27.48%,40%,20%,1099,$67.07,$71.63,$69.26,$69.53,56.82,C+,C+,C,A-,C+,C+,0.0,N/A,N/A,N/A,N/A,N/A
DFSI,Dimensional International Sustainability Core 1 ETF,Equity,"$644,192,000",7.37%,"68,054",$35.19,0.98%,No,False,5.25%,-1.44%,12.17%,N/A,N/A,"$51,891,809.08",$0.00,$0.00,"$207,962,016.96","$568,688,796.96","$568,688,796.96",Global Equities,2022-11-01,0.24%,N/A,$0.83,2025-03-25,$0.09,2.39%,0.07,-0.99,2845,9.56%,40%,20%,1099,$32.09,$36.90,$34.98,$35.39,53.48,A-,A,N/A,B+,B+,N/A,7.6,53.81%,90.58%,29.77,8.01%,7.31%
JPIB,JPMorgan International Bond Opportunities ETF,Bond,"$643,280,000",2.25%,"99,708",$47.75,0.21%,No,False,0.95%,0.46%,6.94%,3.95%,3.61%,"$123,291,000.00","$18,906,000.00","$42,594,000.00","$222,954,000.00","$320,303,000.00","$509,338,000.00",Total Bond Market,2017-04-05,0.50%,N/A,$2.27,2025-04-01,$0.20,4.76%,0.00,0.23,735,24.01%,40%,20%,1099,$47.13,$47.93,$47.69,$47.81,56.61,B,C+,C+,B+,A-,N/A,6.18,48.21%,40.37%,166.31,6.87%,1.64%
PNOV,Innovator U.S. Equity Power Buffer ETF - November,Equity,"$640,198,000",-5.00%,"74,940",$35.98,0.19%,No,False,0.36%,-3.64%,1.90%,6.14%,7.98%,"-$141,529,052.50","-$8,198,572.50","-$101,213,730.00","-$124,278,055.00","$296,635,805.00","$450,586,582.50",Volatility Hedged Equity,2019-11-01,0.79%,N/A,$0.00,N/A,N/A,0.00%,0.05,0.47,2,100.00%,40%,20%,1099,$34.81,$38.37,N/A,N/A,42.30,B,C+,N/A,A,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
CLOZ,Eldridge BBB-B CLO ETF,Bond,"$636,402,000",-2.19%,"1,078,287",$25.87,0.51%,No,False,0.70%,-2.67%,5.38%,N/A,N/A,"$100,710,000.00","-$33,645,000.00","-$204,888,000.00","$393,035,000.00","$657,850,975.00","$657,850,975.00",Corporate Bonds,2023-01-24,0.50%,N/A,$2.31,2025-04-02,$0.20,8.92%,0.00,0.42,155,39.45%,40%,20%,1099,$25.31,$26.71,$25.74,$25.99,41.67,A,B+,B,C,A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
BUYW,Main BuyWrite ETF,Equity,"$631,353,000",-3.38%,"260,605",$13.27,0.23%,No,False,0.61%,-3.17%,4.68%,N/A,N/A,"$83,024,900.00","$7,547,300.00","$18,825,900.00","$213,818,700.00","$488,504,200.00","$488,504,200.00",Global Equities,2022-09-12,1.13%,N/A,$0.83,2025-03-25,$0.07,6.28%,0.05,0.49,8,100.00%,40%,20%,1099,$12.79,$14.13,N/A,N/A,44.78,A-,C,N/A,N/A,A,N/A,6.44,60.76%,49.56%,221.42,14.94%,7.20%
COMT,iShares U.S. ETF Trust iShares GSCI Commodity Dynamic Roll Strategy ETF,Multi-Asset,"$628,376,000",-0.63%,"269,768",$25.15,1.21%,No,False,4.14%,-2.10%,-3.64%,-5.15%,13.55%,"-$37,922,340.00","$2,483,700.00","-$15,942,590.00","$49,456,550.00","-$2,577,721,630.00","$480,023,060.00",Commodities,2014-10-15,0.48%,N/A,$1.24,2024-12-17,$1.24,4.93%,0.00,0.53,87,42.09%,40%,20%,1099,$23.39,$27.20,$25.00,$25.27,47.71,A,A-,A-,A,A,A,0.0,N/A,N/A,N/A,N/A,N/A
XLSR,SPDR SSGA US Sector Rotation ETF,Equity,"$625,313,000",-11.38%,"74,933",$47.28,0.19%,No,False,-0.23%,-7.23%,-0.04%,3.54%,11.20%,"$42,279,821.05","$6,115,848.34","$16,410,869.64","$159,283,772.88","$385,419,951.33","$517,749,596.03",Large Cap Growth Equities,2019-04-02,0.70%,N/A,$0.35,2025-03-26,$0.09,0.75%,0.05,0.94,10,100.01%,40%,20%,1099,$44.39,$53.81,N/A,N/A,40.93,B,C,N/A,A-,B+,N/A,6.18,12.02%,40.38%,45.98,7.68%,4.47%
ULST,SPDR SSgA Ultra Short Term Bond ETF,Bond,"$625,201,000",1.49%,"170,402",$40.56,-0.02%,No,False,0.15%,0.40%,5.47%,4.61%,3.29%,"$89,099,402.75","$12,140,367.00","$41,511,597.27","$39,402,561.92","$229,792,680.83","$340,314,435.09",Total Bond Market,2013-10-09,0.20%,N/A,$1.97,2025-04-01,$0.15,4.86%,0.00,0.05,118,53.78%,40%,20%,1099,$40.39,$40.59,$40.55,$40.58,62.13,B+,B+,B,A,C+,N/A,6.17,28.86%,40.15%,151.26,7.07%,0.93%
UBND,VictoryShares Core Plus Intermediate Bond ETF,Bond,"$624,641,000",1.98%,"89,687",$21.53,0.00%,No,False,0.82%,-0.24%,7.21%,2.37%,N/A,"$87,271,646.48",$0.00,"$5,965,458.32","$304,799,063.06","$433,430,365.56","$1,207,021,903.06",Total Bond Market,2021-10-05,0.40%,N/A,$0.98,2025-04-10,$0.09,4.57%,0.00,0.34,1039,19.37%,40%,20%,1099,$21.27,$21.91,$21.49,$21.56,49.63,C,B-,N/A,C,C,N/A,0.0,N/A,N/A,N/A,N/A,N/A
BLOK,Amplify Transformational Data Sharing ETF,Equity,"$622,442,000",-16.23%,"276,681",$36.18,1.60%,No,False,4.18%,-7.44%,24.82%,9.17%,21.60%,"-$60,277,000.00","-$5,425,500.00","-$20,945,500.00","-$89,651,500.00","-$388,151,500.00","$840,865,500.00",Technology Equities,2018-01-16,0.76%,N/A,$2.59,2024-12-30,$2.59,7.26%,0.00,1.50,50,39.02%,40%,20%,1099,$32.19,$41.76,$35.65,$36.50,44.22,A-,C+,C,C,A,N/A,4.99,22.19%,21.30%,163.22,3.96%,2.38%
DUSA,Davis Select U.S. Equity ETF,Equity,"$621,934,000",-5.34%,"55,606",$39.86,0.13%,No,False,-0.08%,-6.05%,4.11%,9.82%,15.79%,"$78,876,611.69","$5,981,036.40","$16,928,208.55","$141,544,370.28","$178,403,281.57","$243,497,852.05",Large Cap Value Equities,2017-01-11,0.59%,N/A,$0.36,2024-12-27,$0.36,0.90%,0.04,1.06,29,62.02%,40%,20%,1099,$37.97,$44.46,N/A,N/A,41.56,B-,B-,A,C,C,C,5.98,6.75%,35.78%,59.15,18.94%,1.31%
PJUN,Innovator U.S. Equity Power Buffer ETF - June,Equity,"$614,724,000",-5.12%,"109,508",$35.60,0.20%,No,False,-0.21%,-3.90%,3.42%,3.71%,6.34%,"$52,934,827.50","$1,800,315.00","$96,423,325.00","$155,646,380.00","$385,959,587.50","$425,412,005.00",Volatility Hedged Equity,2019-06-03,0.79%,N/A,$0.00,N/A,N/A,0.00%,0.05,0.45,2,100.00%,40%,20%,1099,$34.51,$38.16,N/A,N/A,41.79,B,C+,N/A,A,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
AVIV,Avantis International Large Cap Value ETF,Equity,"$610,900,000",8.61%,"41,922",$56.37,1.06%,No,False,6.20%,-2.08%,11.06%,7.91%,N/A,"$99,314,595.00","$8,231,601.00","$24,606,321.00","$240,893,838.00","$506,035,200.00","$537,492,465.00",Large Cap Value Equities,2021-09-28,0.25%,N/A,$1.80,2024-12-17,$0.65,3.23%,0.12,0.86,570,15.28%,40%,20%,1099,$51.20,$59.84,$55.97,$56.75,53.12,B+,B+,B,B-,A-,N/A,7.37,30.48%,85.23%,150.1,9.09%,4.41%
AVSF,Avantis Short-Term Fixed Income ETF,Bond,"$603,037,000",2.00%,"41,154",$46.57,-0.02%,No,False,0.49%,0.61%,6.21%,3.19%,N/A,"$18,476,825.00","$2,328,330.00","-$9,035.00","$247,117,930.00","$527,837,270.00","$584,293,300.00",Total Bond Market,2020-10-15,0.15%,N/A,$2.04,2025-04-01,$0.16,4.37%,0.00,0.10,545,10.11%,40%,20%,1099,$46.22,$46.76,$46.54,$46.61,57.08,B-,A-,N/A,A-,C+,N/A,6.53,60.20%,52.90%,172.74,6.55%,2.67%
FLMI,Franklin Dynamic Municipal Bond ETF,Bond,"$599,196,000",-1.31%,"274,822",$23.89,0.13%,No,False,0.15%,-2.03%,2.82%,3.13%,2.41%,"$197,397,500.00","-$6,007,500.00","$12,465,500.00","$413,096,500.00","$534,285,000.00","$603,620,000.00",National Munis,2017-08-31,0.30%,N/A,$0.99,2025-04-01,$0.09,4.15%,0.00,0.15,776,14.23%,40%,20%,1099,$23.51,$24.78,$23.82,$24.00,41.80,B-,B-,N/A,B-,A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
PLDR,Putnam Sustainable Leaders ETF,Equity,"$598,786,000",-13.37%,"55,962",$28.88,0.66%,No,False,1.58%,-7.29%,-1.25%,6.50%,N/A,"$6,613.30","-$52,489,665.00","-$1,029,219.42","$163,672,395.09","$518,454,329.25","$525,481,692.06",All Cap Equities,2021-05-25,0.60%,N/A,$0.13,2024-12-05,$0.13,0.44%,20.20,1.03,60,41.86%,40%,20%,1099,$26.70,$32.64,N/A,N/A,39.59,B+,B-,B-,B,C,N/A,6.64,71.02%,57.56%,88.02,7.22%,6.14%
THYF,T. Rowe Price U.S. High Yield ETF,N/A,"$585,335,000",-1.31%,"44,800",$50.54,0.50%,No,False,1.74%,-1.94%,6.39%,N/A,N/A,"$135,687,404.24",$0.00,"$1,279,852.80","$552,145,451.67","$582,487,499.43","$582,487,499.43",High Yield Bonds,2022-10-25,0.56%,N/A,$3.73,2025-03-26,$0.28,7.42%,0.00,0.68,100,19.11%,40%,20%,1099,$49.28,$52.31,$50.41,$50.61,44.78,C+,B+,N/A,A-,A,N/A,5.51,48.23%,27.85%,335.2,2.47%,0.35%
JSCP,JPMorgan Short Duration Core Plus ETF,Bond,"$581,905,000",1.93%,"100,529",$46.97,0.17%,No,False,0.75%,0.29%,7.25%,3.82%,N/A,"$16,042,200.00","-$460,900.00","-$43,987,400.00","$163,677,200.00","$390,507,300.00","$540,107,000.00",Total Bond Market,2021-03-01,0.33%,N/A,$2.25,2025-04-01,$0.19,4.80%,0.13,0.13,895,21.76%,40%,20%,1099,$46.60,$47.22,$46.93,$47.01,55.39,B+,B,N/A,A-,C+,N/A,0.0,N/A,N/A,N/A,N/A,N/A
FLCO,Franklin Investment Grade Corporate ETF,Bond,"$577,358,000",1.15%,"79,871",$21.09,-0.19%,No,False,1.03%,-0.49%,6.27%,1.58%,-0.00%,"$30,191,000.00","$24,984,000.00","$22,852,000.00","$223,820,000.00","-$301,042,000.00","$81,347,500.00",Corporate Bonds,2016-10-03,0.35%,N/A,$0.95,2025-04-01,$0.08,4.48%,0.00,0.31,209,12.55%,40%,20%,1099,$20.80,$21.57,$21.06,$21.13,47.99,B+,C+,B+,C+,A-,N/A,6.36,36.43%,45.76%,232.23,13.13%,3.13%
AVES,Avantis Emerging Markets Value ETF,Equity,"$570,601,000",-0.37%,"60,605",$46.03,0.63%,No,False,4.19%,-4.10%,3.32%,1.90%,N/A,"$58,658,268.00","$12,809,960.00","$12,809,960.00","$146,395,616.00","$468,551,480.00","$570,241,692.00",Emerging Markets Equities,2021-09-28,0.36%,N/A,$1.89,2024-12-17,$1.41,4.14%,0.15,0.66,1713,9.07%,40%,20%,1099,$42.63,$49.81,$45.84,$46.26,48.31,B,B+,N/A,A-,B,N/A,5.41,3.52%,26.55%,550.59,3.93%,6.07%
PMAR,Innovator U.S. Equity Power Buffer ETF - March,Equity,"$569,960,000",-4.18%,"86,227",$38.51,0.23%,No,False,0.60%,-3.70%,6.85%,6.50%,8.76%,"$70,690,770.00","-$972,345.00","$9,214,995.00","-$153,451,465.00","$230,959,145.00","$407,064,160.00",Volatility Hedged Equity,2020-03-02,0.79%,N/A,$0.00,N/A,N/A,0.00%,0.03,0.40,2,100.00%,40%,20%,1099,$37.28,$41.15,N/A,N/A,42.73,B,C+,N/A,A,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
TOTR,T. Rowe Price Total Return ETF,Bond,"$568,553,000",1.32%,"58,016",$40.03,-0.15%,No,False,0.58%,-0.99%,6.57%,0.52%,N/A,"$440,745,689.55",$0.00,"$25,033,388.12","$457,187,433.88","$554,749,699.43","$557,194,813.38",Total Bond Market,2021-09-28,0.32%,N/A,$2.07,2025-03-26,$0.15,5.16%,0.00,0.27,994,21.26%,40%,20%,1099,$39.56,$41.06,N/A,N/A,45.52,C,B,N/A,B-,C,N/A,0.0,N/A,N/A,N/A,N/A,N/A
FLHY,Franklin High Yield Corporate ETF,Bond,"$565,995,000",-0.39%,"116,437",$23.40,0.47%,No,False,2.08%,-1.21%,7.42%,5.69%,5.86%,"-$16,820,500.00","-$10,442,000.00","-$36,056,000.00","$307,520,500.00","$285,490,500.00","$461,181,500.00",High Yield Bonds,2018-05-30,0.40%,N/A,$1.57,2025-04-01,$0.14,6.69%,0.00,0.44,247,12.08%,40%,20%,1099,$22.86,$24.07,$23.36,$23.43,47.16,B+,B,A,B-,A,N/A,5.18,6.86%,23.50%,302.06,9.05%,1.69%
SIXH,ETC 6 Meridian Hedged Equity Index Option ETF,Multi-Asset,"$550,928,000",4.21%,"61,084",$38.02,1.28%,No,False,2.54%,-1.03%,10.53%,8.36%,N/A,"$110,045,183.36","$2,747,924.56","$2,168,505.22","$135,929,530.90","$208,096,863.33","$435,107,130.68",N/A,2020-05-08,0.73%,N/A,$0.66,2025-03-27,$0.10,1.74%,0.04,0.43,55,38.65%,40%,20%,1099,$35.89,$40.11,$37.74,$38.26,50.11,B,C,B+,B+,B+,N/A,6.19,59.17%,40.80%,195.58,23.46%,2.64%
AVRE,Avantis Real Estate ETF,Real Estate,"$545,089,000",1.91%,"54,554",$42.46,1.51%,No,False,5.45%,-0.65%,13.36%,-3.75%,N/A,"$29,074,648.00",$0.00,"$3,420,680.00","$109,697,004.00","$501,568,424.00","$557,302,132.00",Global Real Estate,2021-09-28,0.17%,N/A,$1.68,2025-03-25,$0.27,4.03%,0.05,0.96,309,38.55%,40%,20%,1099,$39.25,$44.45,$42.03,$42.80,51.65,N/A,A,N/A,N/A,B-,N/A,6.3,44.63%,43.59%,84.96,2.61%,22.44%
